timestamp_ms,ax,ay,az,gx,gy,gz
4480,0.0544,-0.0139,1.0850,0.1374,-2.5954,-0.8092
4490,0.0681,-0.0603,1.0303,0.1679,-2.6107,-0.8855
4500,0.0627,0.0024,1.0007,0.2595,-2.6260,-0.8397
4510,0.0549,-0.0115,1.0867,0.1069,-2.5802,-0.8244
4520,0.0688,-0.0627,1.0305,0.1832,-2.4885,-0.6718
4530,0.0623,-0.0027,0.9958,0.3359,-2.6107,-0.6718
4540,0.0571,-0.0098,1.0916,0.1374,-2.7328,-0.8550
4550,0.0632,-0.0623,1.0339,0.1832,-2.5344,-0.8397
4560,0.0596,-0.0022,0.9937,0.3359,-2.4885,-0.7176
4570,0.0562,-0.0039,1.0933,0.1221,-2.5954,-0.9160
4580,0.0647,-0.0632,1.0339,0.2443,-2.4580,-0.6107
4590,0.0632,-0.0090,0.9934,0.2290,-2.5649,-0.8244
4600,0.0586,-0.0059,1.0872,0.1221,-2.6870,-0.6565
4610,0.0625,-0.0664,1.0417,0.3206,-2.5038,-0.5649
4620,0.0640,-0.0125,0.9900,0.2290,-2.5038,-0.7939
4630,0.0583,0.0007,1.0857,0.1527,-2.6565,-0.7939
4640,0.0674,-0.0610,1.0442,0.3053,-2.4885,-0.6565
4650,0.0708,-0.0166,0.9888,0.1527,-2.5954,-0.9008
4660,0.0598,0.0012,1.0779,0.1527,-2.7939,-0.7786
4670,0.0657,-0.0632,1.0481,0.2901,-2.5496,-0.8397
4680,0.0679,-0.0251,0.9905,0.1679,-2.4733,-0.7481
4690,0.0583,0.0020,1.0740,0.1985,-2.6565,-0.8092
4701,0.0740,-0.0593,1.0071,0.1832,-2.6412,-0.9160
4710,0.0696,-0.0286,0.9895,0.2443,-2.4733,-0.8702
4720,0.0623,-0.0320,1.0903,0.1221,-2.5954,-0.9008
4730,0.0715,-0.0652,1.0112,0.2290,-2.5496,-0.7481
4740,0.0642,0.0071,1.0164,0.2901,-2.5802,-0.8092
4750,0.0620,-0.0298,1.0918,0.2290,-2.6412,-0.8092
4760,0.0706,-0.0659,1.0105,0.2595,-2.5649,-0.7634
4770,0.0654,0.0049,1.0095,0.3053,-2.5954,-0.6565
4780,0.0657,-0.0256,1.0889,0.2137,-2.5802,-0.9771
4790,0.0732,-0.0642,1.0164,0.3053,-2.5191,-0.9313
4800,0.0662,0.0029,1.0073,0.2137,-2.6107,-1.0076
4810,0.0623,-0.0178,1.0886,0.1832,-2.6260,-0.7786
4820,0.0686,-0.0671,1.0249,0.3206,-2.5038,-0.5649
4830,0.0710,-0.0076,1.0029,0.1679,-2.7481,-0.9618
4840,0.0610,-0.0146,1.0874,0.2290,-2.7023,-0.7328
4850,0.0725,-0.0647,1.0264,0.2901,-2.5191,-0.9771
4860,0.0750,-0.0127,0.9971,0.1985,-2.6718,-0.9618
4870,0.0576,-0.0110,1.0874,0.2443,-2.6107,-0.8092
4880,0.0762,-0.0688,1.0366,0.2748,-2.4733,-0.8092
4890,0.0701,-0.0120,0.9971,0.2443,-2.6260,-0.8397
4900,0.0593,-0.0090,1.0786,0.2443,-2.5649,-0.8397
4910,0.0718,-0.0662,1.0422,0.2443,-2.4885,-0.6412
4920,0.0732,-0.0151,0.9978,0.2443,-2.6870,-0.7176
4930,0.0601,-0.0044,1.0762,0.2137,-2.7176,-0.8702
4940,0.0725,-0.0637,1.0488,0.2290,-2.5496,-0.8550
4951,0.0703,-0.0117,0.9924,0.3359,-2.7023,-0.9008
4960,0.0588,0.0015,1.0710,0.1985,-2.6565,-0.8550
4970,0.0696,-0.0662,1.0491,0.1832,-2.5344,-0.7786
4980,0.0698,-0.0234,0.9980,0.2137,-2.5344,-0.7939
4990,0.0588,0.0027,1.0757,0.2443,-2.6107,-0.9618
5000,0.0684,-0.0684,1.0601,0.1985,-2.6412,-0.7786
5015,0.0669,0.0083,1.0220,0.1832,-2.6718,-1.0076
5020,0.0640,0.0056,1.0718,0.2290,-2.6718,-0.8702
5030,0.0762,-0.0642,1.0627,0.2137,-2.5954,-0.7786
5045,0.0737,0.0012,1.0208,0.1221,-2.6412,-0.7939
5050,0.0654,0.0056,1.0669,0.2595,-2.6260,-0.7939
5060,0.0798,-0.0667,1.0083,0.2443,-2.5191,-0.8092
5070,0.0732,0.0063,1.0183,0.0763,-2.6107,-0.9160
5080,0.0645,-0.0232,1.0850,0.2137,-2.5496,-0.7634
5090,0.0798,-0.0630,1.0173,0.2748,-2.6107,-0.8550
5100,0.0786,0.0039,1.0132,0.2137,-2.7023,-0.8855
5110,0.0657,-0.0208,1.0876,0.1832,-2.4733,-1.0076
5120,0.0774,-0.0664,1.0229,0.2748,-2.5954,-0.7481
5130,0.0752,0.0027,1.0054,0.2748,-2.7176,-0.9618
5140,0.0710,-0.0178,1.0869,0.1985,-2.4580,-0.6107
5150,0.0845,-0.0696,1.0205,0.1679,-2.6107,-0.8702
5160,0.0742,0.0020,1.0085,0.3053,-2.7481,-0.8092
5170,0.0610,-0.0142,1.0850,0.2137,-2.4885,-0.8855
5180,0.0789,-0.0686,1.0293,0.1527,-2.5954,-0.6565
5190,0.0696,0.0029,1.0015,0.2748,-2.5649,-0.8397
5201,0.0615,-0.0117,1.0825,0.1985,-2.4733,-1.0534
5210,0.0745,-0.0691,1.0293,0.1985,-2.5344,-0.9313
5220,0.0757,-0.0066,0.9939,0.2137,-2.6412,-0.7786
5230,0.0652,-0.0105,1.0806,0.1832,-2.6412,-0.8092
5240,0.0776,-0.0662,1.0403,0.2748,-2.5802,-0.8244
5250,0.0720,-0.0103,0.9900,0.1985,-2.6107,-0.8244
5260,0.0640,-0.0054,1.0835,0.2137,-2.6565,-0.5802
5270,0.0781,-0.0684,1.0461,0.2443,-2.5649,-0.4733
5280,0.0718,-0.0168,0.9915,0.2595,-2.4733,-0.7023
5290,0.0684,-0.0005,1.0774,0.1985,-2.6565,-0.7939
5300,0.0769,-0.0632,1.0493,0.1679,-2.5496,-0.8550
5310,0.0740,-0.0225,0.9893,0.2290,-2.4122,-1.0534
5320,0.0640,-0.0002,1.0764,0.2137,-2.6565,-0.9466
